display_name_zh,skill_id,category,category_slug,version,path
阿里巴巴亚马逊市场情报,alibaba-amazon-market-intel,市场研究与商业情报,01-market-research-intelligence,0.0.62,01-market-research-intelligence/alibaba-amazon-market-intel
爆品模式解码器,bestseller-pattern-decoder,市场研究与商业情报,01-market-research-intelligence,0.0.62,01-market-research-intelligence/bestseller-pattern-decoder
公司调研,company-research,市场研究与商业情报,01-market-research-intelligence,0.0.62,01-market-research-intelligence/company-research
竞争格局分析,competitive-landscape,市场研究与商业情报,01-market-research-intelligence,0.0.62,01-market-research-intelligence/competitive-landscape
竞争对手深度分析,competitor-deep-analysis,市场研究与商业情报,01-market-research-intelligence,0.0.62,01-market-research-intelligence/competitor-deep-analysis
Jungle Scout深度分析器,jungle-scout-deep-dive-analyzer,市场研究与商业情报,01-market-research-intelligence,0.0.62,01-market-research-intelligence/jungle-scout-deep-dive-analyzer
市场可行性逻辑审计器,market-viability-logic-auditor,市场研究与商业情报,01-market-research-intelligence,0.0.62,01-market-research-intelligence/market-viability-logic-auditor
组织架构调研,org-structure-research,市场研究与商业情报,01-market-research-intelligence,0.0.62,01-market-research-intelligence/org-structure-research
人物调研,people-research,市场研究与商业情报,01-market-research-intelligence,0.0.62,01-market-research-intelligence/people-research
产品评价情报收集器,product-review-intelligence-collector,市场研究与商业情报,01-market-research-intelligence,0.0.62,01-market-research-intelligence/product-review-intelligence-collector
评论分析智能体,review-analyst-agent,市场研究与商业情报,01-market-research-intelligence,0.0.62,01-market-research-intelligence/review-analyst-agent
生意参谋分析技能,sycm-analysis-skill,市场研究与商业情报,01-market-research-intelligence,0.0.62,01-market-research-intelligence/sycm-analysis-skill
趋势阶段时机分析器,trend-stage-timing-analyzer,市场研究与商业情报,01-market-research-intelligence,0.0.62,01-market-research-intelligence/trend-stage-timing-analyzer
AI产品设计师,ai-product-designer,产品策略与商品规划,02-product-strategy-merchandising,0.0.62,02-product-strategy-merchandising/ai-product-designer
跨境选品,cross-border-selection,产品策略与商品规划,02-product-strategy-merchandising,0.0.62,02-product-strategy-merchandising/cross-border-selection
发布策略,launch-strategy,产品策略与商品规划,02-product-strategy-merchandising,0.0.62,02-product-strategy-merchandising/launch-strategy
市场洞察选品,market-insight-product-selection,产品策略与商品规划,02-product-strategy-merchandising,0.0.62,02-product-strategy-merchandising/market-insight-product-selection
产品属性分析器,product-attribute-analyzer,产品策略与商品规划,02-product-strategy-merchandising,0.0.62,02-product-strategy-merchandising/product-attribute-analyzer
产品描述生成器,product-description-generator,产品策略与商品规划,02-product-strategy-merchandising,0.0.62,02-product-strategy-merchandising/product-description-generator
产品发布规划器,product-launch-planner,产品策略与商品规划,02-product-strategy-merchandising,0.0.62,02-product-strategy-merchandising/product-launch-planner
