1688采购	1688-sourcing
A/B测试设置	ab-test-setup
Accio MCP CLI	accio-mcp-cli
AI产品设计师	ai-product-designer
阿里巴巴亚马逊市场情报	alibaba-amazon-market-intel
AliExpress供应商评估器	aliexpress-supplier-evaluator
亚马逊品牌保护	amazon-brand-protection
亚马逊FBA库存优化器	amazon-fba-inventory-optimizer
亚马逊Listing专家	amazon-listing-expert
亚马逊PPC广告管理器	amazon-ppc-campaign-manager
亚马逊热搜关键词	amz-hot-keywords
亚马逊产品优化器	amz-product-optimizer
B2B付款条款优化器	b2b-payment-terms-optimizer
爆品模式解码器	bestseller-pattern-decoder
先买后付设置	buy-now-pay-later-setup
弃购挽回	cart-abandonment-recovery
拒付争议管理	chargeback-dispute-manager
结账流程优化器	checkout-flow-optimizer
CJ代发货API集成	cj-dropshipping-api
公司调研	company-research
竞争格局分析	competitive-landscape
竞争对手深度分析	competitor-deep-analysis
内容拆解	content-breakdown
内容策略	content-strategy
文案写作	copywriting
优惠券折扣管理器	coupon-discount-manager
网站创建	create-website
财务模型创建	creating-financial-models
跨境选品	cross-border-selection
客户生命周期价值计算器	customer-ltv-calculator
客户留存自动化	customer-retention-automator
客户RFM分析器	customer-rfm-analyzer
客户声音分析器	customer-voice-analyzer
客户赢回自动化	customer-winback-automator
DCF估值	dcf-valuation
折扣促销引擎	discount-promotion-engine
文档共创	doc-coauthoring
Word文档处理	docx
代发货供应商集成	dropshipping-supplier-integrator
动态定价引擎	dynamic-pricing-engine
电商预算预测器	ecommerce-budget-forecaster
电商财务仪表盘	ecommerce-financial-dashboard
电商GDPR合规	ecommerce-gdpr-compliance
电商营销	ecommerce-marketing
电商销售仪表盘	ecommerce-sales-dashboard
电商SEO优化器	ecommerce-seo-optimizer
邮件自动化流程构建器	email-automation-flow-builder
Etsy SEO优化器	etsy-seo-optimizer
免费增值升级优化器	freemium-upgrade-optimizer
Google Shopping Feed优化器	google-shopping-feed-optimizer
GraphQL操作	graphql-operations
客服工单订单集成	helpdesk-order-integration
Higgsfield指南	higgsfield-guide
图片提示词指南	image-prompt-guide
内部沟通	internal-comms
国际物流与海关	international-shipping-customs
库存需求预测器	inventory-demand-forecaster
发票生成器	invoice-generator
Jungle Scout深度分析器	jungle-scout-deep-dive-analyzer
飞书工具	lark-tools
发布策略	launch-strategy
生命周期营销自动化	lifecycle-marketing-automator
Logo设计	logo-design
会员积分设计器	loyalty-points-designer
市场洞察选品	market-insight-product-selection
市场可行性逻辑审计器	market-viability-logic-auditor
营销创意	marketing-ideas
营销心理学	marketing-psychology
营销ROAS分析器	marketing-roas-analyzer
MCP工具	mcp-tools
MCP迁移器	mcporter
多币种结账	multi-currency-checkout
多仓订单路由器	multi-location-order-router
多渠道库存同步	multichannel-inventory-sync
电商页面转化优化	optimize-ecommerce-page-conversion
组织架构调研	org-structure-research
支付欺诈检测器	payment-fraud-detector
PDF处理	pdf
人物调研	people-research
PPT演示文稿处理	pptx
产品属性分析器	product-attribute-analyzer
产品描述生成器	product-description-generator
产品发布规划器	product-launch-planner
产品营销简报	product-marketing-brief
产品营销上下文	product-marketing-context
产品评价情报收集器	product-review-intelligence-collector
产品选品	product-selection
产品供应商寻源	product-supplier-sourcing
利润率分析器	profit-margin-analyzer
程序化SEO策略师	programmatic-seo-strategist
推荐返利计划构建器	referral-program-builder
Remotion视频	remotion
退货政策设计器	return-policy-designer
退换货自动化	returns-exchange-automator
评论分析智能体	review-analyst-agent
评价邀约自动化	review-request-automator
销售谈判专家	sales-negotiator
销售税与VAT自动化	sales-tax-vat-automator
场景驱动产品侦察器	scenario-driven-product-scout
季节性营销活动自动化	seasonal-campaign-automator
自我改进	self-improvement
SEO竞争对手分析	seo-competitor-analysis
SEO关键词研究	seo-keyword-research
SEO页面审计	seo-page-audit
SERP排名分析器	serp-ranking-analyzer
Shopify广告ROAS优化器	shopify-ads-roas-optimizer
Shopify搭建器	shopify-builder
Shopify开发MCP	shopify-dev-mcp
Shopify开发者	shopify-developer
Shopify产品页CRO	shopify-product-page-cro
Shopify加购与交叉销售	shopify-upsell-cross-sell
技能创建器	skill-creator
技能查找器	skill-finder
技能安全审查器	skill-vetter
社交电商同步	social-commerce-sync
社交媒体内容创作者	social-media-content-creator
供应商绩效管理	supplier-performance-manager
生意参谋分析技能	sycm-analysis-skill
关税查询	tariff-search
技术包生成	tech-pack-generation
TikTok广告策略	tiktok-ads-strategy
TikTok Shop搭建	tiktok-shop-setup
趋势阶段时机分析器	trend-stage-timing-analyzer
Vibe营销	vibe-marketing
仓库履约流程	warehouse-fulfillment-workflow
Excel表格处理	xlsx
